utime,duration,size,umem,OutputPixels
1.956,844.331,72.978401,30.064,0.025344
1.624,197.44,10.013717,58.744,0.025344
4.308,74.535,0.515272,219.2,0.3072
10.897,47.36,15.504144,31.044,0.0768
7.372,145.01167,35.122876,79.4,0.025344
9.525,750.433,74.487589,171.864,0.1728
1.576,130.35667,0.889537,49.944,0.9216
1.916,204.938,7.617894,85.432,0.9216
18.377,239.14166,14.952277,99.868,0.9216
2.752,290.01666,1.913509,132.616,0.0768
1.84,52.68,2.449633,141.528,0.3072
3.452,59.883,7.447655,161.908,0.1728
3.1,177.33333,1.190517,163.024,0.3072
4.692,714.371,58.253046,165.564,0.025344
6.32,906.5983,6.358485,165.668,0.9216
2.708,476.957,82.698405,165.7,0.025344
2.756,316.95166,2.194752,165.7,0.3072
0.864,34.168,0.79823,165.7,0.025344
0.708,216.55,7.881069,207.716,0.025344
1.288,326.583,43.108248,215.124,0.0768
9.693,39.055,29.25619,215.848,0.025344
10.565,157.80167,56.918844,216.02,0.1728
65.28,274.541,4.797322,657.34,2.0736
4.636,110.966995,5.508291,216.82,0.1728
0.664,304.927,5.12028,216.82,0.025344
4.968,255.28,7.986338,216.82,0.025344
3.12,286.995,18.229956,216.82,0.9216
2.672,458.625,29.659524,216.82,0.025344
2.656,42.2,1.522924,216.82,0.0768
3.468,107.443,4.297868,216.82,0.025344
57.684,225.08,15.149369,636.908,2.0736
7.52,217.518,2.258222,217.08,0.1728
2.592,64.933,1.921961,217.08,0.025344
5.276,448.575,115.083398,217.08,0.1728
6.268,222.53334,13.920824,217.332,0.9216
26.378,127.221664,48.993895,217.544,0.3072
5.596,384.451,31.065203,217.852,0.025344
1.948,189.956,5.492026,218.664,0.0768
4.848,98.683334,0.68526,218.192,0.1728
0.712,250.017,4.783444,218.9,0.0768
1.236,43.827,1.491614,218.932,0.3072
11.861,581.233,21.504146,218.932,2.0736
1.432,176.901,0.596349,218.932,0.0768
9.061,326.58832,244.926878,218.932,0.025344
1.188,645.84,7.742262,219.2,0.1728
7.692,157.891,8.030894,219.464,0.9216
4.608,379.32,8.627672,219.464,0.3072
2.3,339.667,10.941484,219.48,0.0768
126.128,1140.349,341.338789,653.976,2.0736
23.049,80.536,6.946645,219.48,0.9216
25.238,37.011665,12.766479,219.48,0.9216
4.444,490.6,18.424328,219.48,0.025344
134.18,270.655,22.09113,641.896,2.0736
3.756,106.765,11.338266,219.48,0.1728
3.896,426.945,56.821235,219.48,0.025344
2.924,67.583336,0.432749,219.48,0.0768
5.124,77.233,3.69233,219.48,0.3072
6.152,69.93833,0.495843,221.152,0.9216
2.044,256.20834,1.8436,219.48,0.1728
2.98,391.08,11.284995,219.48,0.1728
12.333,33.09,1.154731,219.48,2.0736
12.461,292.092,17.53009,219.48,0.3072
2.536,385.052,21.267505,219.48,0.9216
50.255,143.03334,0.913312,618.784,2.0736
10.929,273.816,53.77074,219.656,0.1728
0.532,163.897,5.470732,219.656,0.025344
147.129,167.39166,46.189307,705.704,2.0736
10.013,69.933,2.385577,219.656,0.3072
4.264,440.967,15.524405,219.656,0.3072
10.749,63.667,7.740095,219.656,0.1728
6.532,86.486,3.84903,219.656,0.3072
1.248,473,9.697521,220.9,0.1728
5.08,282.56,19.773349,221.152,2.0736
12.285,340.424,10.403848,221.152,2.0736
1.932,368.32,1.339625,221.152,0.025344
7.028,131.76,1.724802,221.152,0.9216
1.408,49.178333,0.334032,221.16,0.025344
12.501,395.44,79.678319,221.16,0.9216
1.88,51.361668,0.339455,27.156,0.3072
3.032,311.1,2.193902,221.16,0.3072
3.184,95.462,9.656655,221.16,0.025344
1.476,203.198,6.079081,221.16,0.3072
3.1,254.922,8.306231,221.16,0.0768
12.161,1768.9417,12.416387,221.16,2.0736
12.713,452.689,3.7732,248.092,0.9216
87.653,860.056,289.012098,262.784,2.0736
0.876,109.87666,0.714318,27.128,0.1728
1.504,189.28,6.932549,27.168,0.025344
8.405,72.806,2.519816,47.232,0.9216
1.048,384.6,12.899562,27.236,0.3072
39.65,266.145,68.035429,151.204,0.3072
2.132,278.91666,1.931589,42.124,0.025344
14.129,798.5333,5.600379,102.596,2.0736
1.548,275.52832,1.847077,42.224,0.025344
3.732,46.113335,6.705304,48.952,0.1728
8.345,45.975,6.624377,76.644,0.0768
3.38,85.133,10.78124,29.288,0.0768
1.684,383.035,2.687093,29.492,0.0768
16.545,114.424995,2.413903,319.532,0.9216
3.608,209.816,14.512177,31.892,0.1728
2.388,121.115,0.894954,30.652,0.1728
9.101,186.723,89.862732,75.376,0.9216
4.488,203.494,3.462804,30.764,0.1728
53.003,68.613335,14.957196,377.196,0.9216
5.172,225.605,51.926843,65.856,0.9216
10.153,127.33833,0.877989,45.048,0.9216
18.185,194.4,7.086958,328.096,0.9216
3.676,962.534,71.709651,41.304,0.9216
12.221,80.933,0.892715,137.628,0.3072
13.049,51.595,0.35519,132.964,0.3072
13.177,254.53667,1.813907,102.228,2.0736
3.588,135.185,0.925673,34.312,0.3072
3.432,173.45166,1.232543,33.364,0.1728
7.912,127.941666,0.88108,92.548,0.1728
1.388,409.08832,2.930473,34.58,0.0768
13.313,70.799995,3.45037,69.48,0.9216
2.948,207.974,6.837595,35.368,0.3072
4.924,80.514,5.316279,52.08,0.9216
1.356,231.735,11.329747,35.976,0.025344
5.676,120.007,7.744578,36.296,0.0768
3.344,206.88,16.766279,36.308,0.0768
12.649,606.28,20.777666,56.78,0.9216
11.021,557.58,188.177167,59.132,0.3072
2.34,177.72,5.36339,37.18,0.9216
15.081,34.278,1.016087,79.652,2.0736
1.704,363.63,10.789753,37.948,0.1728
10.749,215.43333,13.64334,69.464,0.9216
8.469,192.259,6.97893,72.332,0.0768
0.904,393.76334,2.791332,38.576,0.1728
5.108,46.733,9.706257,46.392,0.9216
1.26,50.29333,0.345318,39.1,0.9216
5.236,295.16,18.346073,45.12,0.3072
0.8,209.11833,1.390509,39.692,0.025344
7.712,44.675,0.325454,91.972,0.1728
1.544,288.11166,2.042584,40.268,0.0768
12.605,150.69667,1.050645,45.072,0.9216
3.88,807.875,25.865393,41.06,0.025344
13.445,214.45833,1.53142,102.14,2.0736
5.04,950.596,149.428,97.912,0.0768
18.677,32.506668,0.233289,87.004,2.0736
8.685,31.115,0.215216,45.008,0.9216
18.001,218.41,20.577206,97.332,0.1728
2.268,579.947,18.63831,42.392,0.1728
41.071,278.333,91.788749,103.24,2.0736
41.951,75.418335,57.065228,115.44,0.9216
9.717,1782.638,492.513794,45.508,0.3072
0.74,47.09,0.326964,45.82,0.3072
24.302,230.864,14.040911,56.588,0.9216
31.086,307.774,18.712775,670.164,2.0736
6.436,61,22.691707,63.696,0.9216
3.172,31.582,0.912348,46.852,0.0768
41.967,295.845,56.384291,691.636,2.0736
1.844,266.56,8.548624,47.38,0.025344
42.035,116.403,8.765223,149.256,0.3072
6.68,75.99,27.348826,47.96,0.1728
6.124,213.04,20.987103,47.976,0.0768
3.996,42.208332,2.884832,53.948,0.025344
4.32,45.533,2.489234,61.248,0.0768
8.157,192.466,5.782494,49.576,0.3072
2.992,88.478,5.621655,50.188,0.025344
8.045,828.75,26.528495,50.44,0.9216
14.281,322.2,2.198511,102.288,2.0736
4.888,32.732998,1.619202,72.548,0.0768
11.661,277.6,91.049901,161.208,0.1728
1.348,487.054,17.440241,51.74,0.025344
6.208,111.562,48.775838,52.004,0.1728
23.893,142.52333,21.697435,169.6,0.3072
1.812,194.88,6.99811,52.584,0.025344
6.528,99.788,21.22083,52.592,0.0768
19.093,95.739,37.101152,57.304,0.1728
2.356,279.335,1.962775,52.872,0.3072
4.14,1796.76,466.217205,61.676,0.025344
2.124,315.79,2.175037,53.444,0.9216
0.9,135.104,0.823122,53.968,0.025344
1.88,118.118,12.045057,54.396,0.0768
60.308,181.255,1.151493,649.804,2.0736
35.71,50.704,13.189861,55.308,0.9216
8.037,137.143,70.878806,70.812,0.3072
14.161,136.77,4.691778,90.052,0.1728
39.954,259.767,25.977476,97.984,2.0736
5.136,392.95,16.114802,59.38,0.025344
12.797,132,99.18054,124.004,2.0736
2.104,225.267,22.619648,58.296,0.3072
1.868,149.72166,8.340568,58.6,0.025344
1.504,58,6.111152,58.616,0.1728
0.944,163.93167,1.127451,59.512,0.025344
5.676,38.84,5.397407,60.344,0.0768
7.08,115.415,4.771578,71.732,0.0768
2.84,322.2,41.238157,65.2,0.9216
0.908,88.60667,0.619828,61.148,0.025344
1.948,328.52,25.662768,61.24,0.1728
1.98,430.92,12.488063,61.52,0.025344
6.452,939.455,317.213739,97.244,0.0768
1.62,67.708336,0.457772,62.08,0.0768
2.744,2069.2683,14.613241,62.368,0.025344
155.482,657.691,53.606727,646.728,2.0736
1.608,583.8417,3.953653,62.952,0.9216
2.916,123,0.840625,62.968,0.1728
3.432,42.967,1.886347,62.984,0.1728
19.145,201.165,19.100478,98.776,0.1728
5.06,548.415,31.352314,64.16,0.1728
2.472,95.495,0.87034,64.188,0.3072
6.24,144.614,7.044378,75.54,2.0736
4.796,129.696,6.941643,65.344,0.025344
4.008,279.36,17.732912,66.324,0.1728
18.649,469.933,13.196338,133.9,0.3072
4.7,222.205,30.107752,67.2,0.025344
3.7,215.16,5.103836,73.624,0.0768
13.133,90.023,5.536189,114.636,2.0736
4.664,71.638,2.25612,68.656,0.3072
15.057,270.83667,1.929214,87.204,2.0736
143.673,666.449,50.842699,647.7,2.0736
3.66,42.538334,0.264311,68.92,0.025344
3.644,80.966995,2.829109,68.952,0.025344
2.116,119.95333,0.768757,69.548,0.9216
9.609,105.62666,55.979284,102.416,0.3072
1.184,539.667,20.324796,70.796,0.0768
3.244,60.656,6.060824,71.1,0.025344
5.608,779,54.553016,71.368,0.0768
1.468,206.75,1.455124,71.392,0.0768
48.767,134.776,38.365135,101.788,2.0736
1.352,68.937,4.442309,74.692,0.0768
3.324,184.94667,12.468338,75.056,0.1728
30.822,49.345,18.407411,112.776,0.1728
2.544,604.506,27.657274,75.66,0.025344
3.404,302.975,15.511431,75.98,0.025344
3.812,67.466995,2.995074,75.992,0.025344
0.804,91.53167,0.608724,76.296,0.3072
4.012,195.009,9.758022,77.192,0.0768
9.613,32.522,10.125264,77.496,0.0768
6.264,193.21167,70.989005,78.036,0.1728
116.595,1648.509,400.631808,658.812,2.0736
16.205,68.466995,9.014106,116.572,2.0736
33.494,726.047,46.231421,320.016,0.9216
1.632,600.288,42.030197,78.964,0.3072
2.444,173.12666,1.133782,79.24,0.025344
3.616,67.96833,21.66207,79.544,0.0768
5.512,223.503,38.670999,79.828,0.1728
6.196,95.015,18.624888,80.208,0.3072
0.908,3115.303,53.38543,80.236,0.025344
9.837,97.941666,0.684235,95.14,0.1728
10.069,683.80334,301.927715,103.636,0.3072
2.6,84.833,3.389776,80.484,0.0768
15.837,84.567,2.94756,81.292,2.0736
1.936,408.875,40.239411,81.656,0.0768
0.472,330.09332,2.283228,81.968,0.0768
5.08,165.2,7.316332,99.504,0.1728
5.5,567.2167,16.655425,82.528,0.0768
54.375,441.866,6.669744,638.18,2.0736
4.336,203.2,25.610592,82.86,0.025344
16.533,120.106,7.656093,93.22,0.1728
3.436,272.96,7.953364,84.708,0.3072
2.688,1159.24,26.015847,84.72,0.0768
7.372,939.733,30.972075,85,0.9216
52.251,523.559,143.35411,662.828,2.0736
44.675,105.145,15.247162,85.876,0.9216
4.128,142.976,14.306688,85.884,0.0768
10.353,194.308,20.084816,86.108,0.3072
18.869,45.416668,0.286111,132.368,0.3072
5.304,102.05167,37.108981,86.364,0.1728
29.39,288.02,1.970383,87.26,2.0736
5.004,61.113335,16.732481,86.428,0.025344
2.084,525.18835,3.725483,86.688,0.1728
8.221,35.1,0.514311,86.956,0.9216
18.369,425.6,25.194494,102.024,0.1728
4.456,68.034996,2.342582,87.272,0.3072
10.913,1620.9384,11.465555,103.736,2.0736
15.781,77.36,7.743253,118.6,2.0736
1.552,972.271,33.886358,88.692,0.3072
3.076,294.61334,2.034411,88.736,0.025344